scenario,loads,baseline_mean_tok_s,selected_policy,selected_detail,selected_mean_tok_s,speedup_vs_baseline_mean,ppl,ppl_delta
6c_extreme_2idle,"90,90,90,100,100,100,0,0",1.445415,major_only_no_svd,"p=7;major=66,67,60,61,62,63,64",20.28240333333333,14.032235263459514,15.1424,0.0
7c_extreme_1idle,"80,90,90,100,100,100,100,0",28.636766666666663,baseline_no_svd,"60,61,62,63,64,65,66,67",28.636766666666663,1.0,15.1424,0.0
8c_all_100,"100,100,100,100,100,100,100,100",28.657666666666668,baseline_no_svd,"60,61,62,63,64,65,66,67",28.657666666666668,1.0,15.1424,0.0
8c_extreme_all_hot,"80,90,90,90,100,100,100,100",28.430533333333333,baseline_no_svd,"60,61,62,63,64,65,66,67",28.430533333333333,1.0,15.1424,0.0
