scenario,n_cores,cpus,loads,runs,tok_s_median,tok_s_mean,tok_s_min,tok_s_max
4c_high,4,"60,61,62,63","70,80,90,100",7,21.4173,21.475242857142856,19.959,23.8787
4c_mixed,4,"60,61,62,63","0,30,60,90",7,20.7908,20.935642857142856,18.6095,22.85
4c_ramp_light,4,"60,61,62,63","0,10,20,30",7,20.935,21.20075714285714,20.2534,22.7063
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",7,26.6895,25.653985714285714,17.3572,30.2098
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",7,18.5516,17.608803714285717,0.938846,29.7328
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",7,28.467,28.5403,23.3588,32.8102
