scenario,loads,baseline_all_8c_tok_s,major_only_6idle_tok_s,speedup
2c_asym_low_high_6idle_major,"20,80",31.3288,28.6753,0.9153015755471005
2c_balanced_mid_6idle_major,"50,50",32.0397,28.9637,0.9039941073106177
