scope,layer,matrix,rate,rank_total,rank_keep,rank_truncated,loss,relative_loss,loss_definition
matrix,1,gate,0.9,1536,153,1383,4.0024483030240905,0.28620691989466046,spectral_norm_discarded_residual
matrix,1,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,1,up,0.1,1536,1382,154,1.7770075905112166,0.17833497144108312,spectral_norm_discarded_residual
matrix,1,up,0.2,1536,1228,308,1.9966249976343764,0.20037509340590048,spectral_norm_discarded_residual
matrix,1,up,0.3,1536,1075,461,2.188169719061108,0.21959792768512792,spectral_norm_discarded_residual
matrix,1,up,0.4,1536,921,615,2.381576551048874,0.23900763760602142,spectral_norm_discarded_residual
matrix,1,up,0.5,1536,768,768,2.5702582391996964,0.2579431467436904,spectral_norm_discarded_residual
matrix,1,up,0.6,1536,614,922,2.7722543144270153,0.2782148464816254,spectral_norm_discarded_residual
matrix,1,up,0.7,1536,460,1076,2.987347830932738,0.2998009648122596,spectral_norm_discarded_residual
matrix,1,up,0.8,1536,307,1229,3.2341724882951604,0.3245715220438241,spectral_norm_discarded_residual
matrix,1,up,0.85,1536,230,1306,3.3791855512185203,0.33912458336619117,spectral_norm_discarded_residual
matrix,1,up,0.9,1536,153,1383,3.55735162197209,0.3570047777498669,spectral_norm_discarded_residual
matrix,2,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,2,down,0.1,1536,1382,154,1.661329122822372,0.24644188576506545,spectral_norm_discarded_residual
matrix,2,down,0.2,1536,1228,308,1.8803409306810763,0.27893014001406174,spectral_norm_discarded_residual
matrix,2,down,0.3,1536,1075,461,2.0706260793088704,0.30715707603577697,spectral_norm_discarded_residual
matrix,2,down,0.4,1536,921,615,2.2477246906349997,0.33342791854495996,spectral_norm_discarded_residual
matrix,2,down,0.5,1536,768,768,2.4219473196673835,0.3592721372803458,spectral_norm_discarded_residual
matrix,2,down,0.6,1536,614,922,2.597443248746702,0.3853052375927778,spectral_norm_discarded_residual
matrix,2,down,0.7,1536,460,1076,2.7800936559436193,0.4123996345831194,spectral_norm_discarded_residual
matrix,2,down,0.8,1536,307,1229,2.9769338149046574,0.4415989421148156,spectral_norm_discarded_residual
matrix,2,down,0.85,1536,230,1306,3.0907212305136,0.4584781895160539,spectral_norm_discarded_residual
matrix,2,down,0.9,1536,153,1383,3.22595370727188,0.4785386014664403,spectral_norm_discarded_residual
matrix,2,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,2,gate,0.1,1536,1382,154,1.9414921701170527,0.13384456735724573,spectral_norm_discarded_residual
matrix,2,gate,0.2,1536,1228,308,2.2002205209738444,0.1516810462864361,spectral_norm_discarded_residual
matrix,2,gate,0.3,1536,1075,461,2.429293124352752,0.1674730870500099,spectral_norm_discarded_residual
matrix,2,gate,0.4,1536,921,615,2.6477083012642497,0.18253041527823202,spectral_norm_discarded_residual
matrix,2,gate,0.5,1536,768,768,2.870814399233508,0.19791113100661853,spectral_norm_discarded_residual
matrix,2,gate,0.6,1536,614,922,3.10669153463382,0.21417226953864663,spectral_norm_discarded_residual
matrix,2,gate,0.7,1536,460,1076,3.360453109945825,0.2316663438297012,spectral_norm_discarded_residual
matrix,2,gate,0.8,1536,307,1229,3.6644661129043197,0.25262470229143197,spectral_norm_discarded_residual
matrix,2,gate,0.85,1536,230,1306,3.857308374607161,0.26591905880910643,spectral_norm_discarded_residual
matrix,2,gate,0.9,1536,153,1383,4.130666016030915,0.2847640666918596,spectral_norm_discarded_residual
matrix,2,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,2,up,0.1,1536,1382,154,1.6677956334361714,0.24616726298405373,spectral_norm_discarded_residual
matrix,2,up,0.2,1536,1228,308,1.877134078524631,0.2770656962402864,spectral_norm_discarded_residual
matrix,2,up,0.3,1536,1075,461,2.060209033887851,0.30408762853173843,spectral_norm_discarded_residual
matrix,2,up,0.4,1536,921,615,2.237412586203323,0.33024293952429523,spectral_norm_discarded_residual
matrix,2,up,0.5,1536,768,768,2.414146924687814,0.35632899437886295,spectral_norm_discarded_residual
matrix,2,up,0.6,1536,614,922,2.5999361978200004,0.38375156099424523,spectral_norm_discarded_residual
matrix,2,up,0.7,1536,460,1076,2.79430899212924,0.41244105856481145,spectral_norm_discarded_residual
matrix,2,up,0.8,1536,307,1229,3.0121949006035327,0.44460110063267755,spectral_norm_discarded_residual
matrix,2,up,0.85,1536,230,1306,3.1420512173079325,0.46376794183518866,spectral_norm_discarded_residual
matrix,2,up,0.9,1536,153,1383,3.29012954777943,0.48562435912554597,spectral_norm_discarded_residual
matrix,3,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,3,down,0.1,1536,1382,154,1.556369239425075,0.2332239308209006,spectral_norm_discarded_residual
matrix,3,down,0.2,1536,1228,308,1.7743596118091225,0.2658900682905026,spectral_norm_discarded_residual
matrix,3,down,0.3,1536,1075,461,1.9609583505032473,0.29385212910618796,spectral_norm_discarded_residual
matrix,3,down,0.4,1536,921,615,2.1416351926878785,0.3209267861189243,spectral_norm_discarded_residual
matrix,3,down,0.5,1536,768,768,2.312444338849328,0.3465227562003239,spectral_norm_discarded_residual
matrix,3,down,0.6,1536,614,922,2.488851780300546,0.3729576380259947,spectral_norm_discarded_residual
matrix,3,down,0.7,1536,460,1076,2.6752201394049395,0.40088517616406794,spectral_norm_discarded_residual
matrix,3,down,0.8,1536,307,1229,2.881927011277243,0.4318604665800873,spectral_norm_discarded_residual
matrix,3,down,0.85,1536,230,1306,2.998257870058594,0.44929279528042837,spectral_norm_discarded_residual
matrix,3,down,0.9,1536,153,1383,3.139473442390826,0.4704541302889592,spectral_norm_discarded_residual
matrix,3,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,3,gate,0.1,1536,1382,154,2.0425959441464214,0.15120598237138996,spectral_norm_discarded_residual
matrix,3,gate,0.2,1536,1228,308,2.307509155809017,0.17081654829236648,spectral_norm_discarded_residual
matrix,3,gate,0.3,1536,1075,461,2.5396853988479,0.18800371495281118,spectral_norm_discarded_residual
matrix,3,gate,0.4,1536,921,615,2.7655987180859953,0.2047272600396749,spectral_norm_discarded_residual
matrix,3,gate,0.5,1536,768,768,2.9895414324985894,0.2213049283860312,spectral_norm_discarded_residual
matrix,3,gate,0.6,1536,614,922,3.225791814151509,0.23879368877734466,spectral_norm_discarded_residual
matrix,3,gate,0.7,1536,460,1076,3.4871593203252185,0.258141778958475,spectral_norm_discarded_residual
matrix,3,gate,0.8,1536,307,1229,3.7883000723342892,0.2804341385267395,spectral_norm_discarded_residual
matrix,3,gate,0.85,1536,230,1306,3.9775241433314736,0.2944417114025387,spectral_norm_discarded_residual
matrix,3,gate,0.9,1536,153,1383,4.243603628620287,0.3141386123374819,spectral_norm_discarded_residual
matrix,3,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,3,up,0.1,1536,1382,154,1.6378854595433903,0.3736720914837336,spectral_norm_discarded_residual
matrix,3,up,0.2,1536,1228,308,1.8482337731906606,0.4216615854026578,spectral_norm_discarded_residual
matrix,3,up,0.3,1536,1075,461,2.0265389285341673,0.46234065727018303,spectral_norm_discarded_residual
matrix,3,up,0.4,1536,921,615,2.1989766274188502,0.5016811100579164,spectral_norm_discarded_residual
matrix,3,up,0.5,1536,768,768,2.368470442303128,0.5403499363377599,spectral_norm_discarded_residual
matrix,3,up,0.6,1536,614,922,2.543204748452774,0.5802143439814419,spectral_norm_discarded_residual
matrix,3,up,0.7,1536,460,1076,2.726459135985229,0.6220225484952747,spectral_norm_discarded_residual
matrix,3,up,0.8,1536,307,1229,2.92728613660313,0.667839821559178,spectral_norm_discarded_residual
matrix,3,up,0.85,1536,230,1306,3.0375880489839275,0.6930044300205526,spectral_norm_discarded_residual
matrix,3,up,0.9,1536,153,1383,3.1643687726124012,0.7219285638066112,spectral_norm_discarded_residual
matrix,4,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,4,down,0.1,1536,1382,154,1.50286632933231,0.1910324203815517,spectral_norm_discarded_residual
matrix,4,down,0.2,1536,1228,308,1.7300149392502249,0.21990574590092948,spectral_norm_discarded_residual
matrix,4,down,0.3,1536,1075,461,1.9239439969814418,0.24455646603328288,spectral_norm_discarded_residual
matrix,4,down,0.4,1536,921,615,2.103247768746471,0.2673481360808996,spectral_norm_discarded_residual
matrix,4,down,0.5,1536,768,768,2.281746374104786,0.2900374597757619,spectral_norm_discarded_residual
matrix,4,down,0.6,1536,614,922,2.4661045758720457,0.31347160878383556,spectral_norm_discarded_residual
matrix,4,down,0.7,1536,460,1076,2.665744998023399,0.3388483121573895,spectral_norm_discarded_residual
matrix,4,down,0.8,1536,307,1229,2.892020511154553,0.3676106565541305,spectral_norm_discarded_residual
matrix,4,down,0.85,1536,230,1306,3.035331907956687,0.3858272620266449,spectral_norm_discarded_residual
matrix,4,down,0.9,1536,153,1383,3.253382381163404,0.4135441047351565,spectral_norm_discarded_residual
matrix,4,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,4,gate,0.1,1536,1382,154,1.9549100750080433,0.15230059289464645,spectral_norm_discarded_residual
matrix,4,gate,0.2,1536,1228,308,2.2080631485569544,0.17202291346964405,spectral_norm_discarded_residual
matrix,4,gate,0.3,1536,1075,461,2.4304694099615913,0.1893498513725389,spectral_norm_discarded_residual
matrix,4,gate,0.4,1536,921,615,2.649113594874154,0.20638369831049233,spectral_norm_discarded_residual
matrix,4,gate,0.5,1536,768,768,2.8633159539996926,0.2230714972590538,spectral_norm_discarded_residual
matrix,4,gate,0.6,1536,614,922,3.0940054986583485,0.24104375842608716,spectral_norm_discarded_residual
matrix,4,gate,0.7,1536,460,1076,3.34503390724315,0.26060055336495797,spectral_norm_discarded_residual
matrix,4,gate,0.8,1536,307,1229,3.635660609897754,0.2832423207235564,spectral_norm_discarded_residual
matrix,4,gate,0.85,1536,230,1306,3.816839987685233,0.29735740816930634,spectral_norm_discarded_residual
matrix,4,gate,0.9,1536,153,1383,4.063073844829322,0.31654067542707326,spectral_norm_discarded_residual
matrix,4,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,4,up,0.1,1536,1382,154,1.6704757031353883,0.3513125096537796,spectral_norm_discarded_residual
matrix,4,up,0.2,1536,1228,308,1.8839209458958601,0.3962015096955624,spectral_norm_discarded_residual
matrix,4,up,0.3,1536,1075,461,2.0663025689573393,0.4345576172355862,spectral_norm_discarded_residual
matrix,4,up,0.4,1536,921,615,2.241354636363427,0.47137226889743744,spectral_norm_discarded_residual
matrix,4,up,0.5,1536,768,768,2.4092343189199035,0.5066785187806874,spectral_norm_discarded_residual
matrix,4,up,0.6,1536,614,922,2.5819224791899975,0.5429960245415382,spectral_norm_discarded_residual
matrix,4,up,0.7,1536,460,1076,2.76140837346726,0.5807431404365172,spectral_norm_discarded_residual
matrix,4,up,0.8,1536,307,1229,2.9565907852341904,0.6217913417299665,spectral_norm_discarded_residual
matrix,4,up,0.85,1536,230,1306,3.0636426770065275,0.6443050895750475,spectral_norm_discarded_residual
matrix,4,up,0.9,1536,153,1383,3.1830279009901705,0.6694126218633355,spectral_norm_discarded_residual
matrix,5,down,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,5,down,0.1,1536,1382,154,1.4134364286726244,0.21698966619460086,spectral_norm_discarded_residual
matrix,5,down,0.2,1536,1228,308,1.7043669138470499,0.26165308902934203,spectral_norm_discarded_residual
matrix,5,down,0.3,1536,1075,461,1.9218280768175706,0.2950375584020302,spectral_norm_discarded_residual
matrix,5,down,0.4,1536,921,615,2.1175680201872673,0.32508740295897853,spectral_norm_discarded_residual
matrix,5,down,0.5,1536,768,768,2.3058367840515936,0.35399027782272835,spectral_norm_discarded_residual
matrix,5,down,0.6,1536,614,922,2.497200543482514,0.38336829400960065,spectral_norm_discarded_residual
matrix,5,down,0.7,1536,460,1076,2.700172713594179,0.41452842441651616,spectral_norm_discarded_residual
matrix,5,down,0.8,1536,307,1229,2.925481312252823,0.44911762604026756,spectral_norm_discarded_residual
matrix,5,down,0.85,1536,230,1306,3.0620559141093953,0.47008445317613595,spectral_norm_discarded_residual
matrix,5,down,0.9,1536,153,1383,3.2293651191724297,0.4957696328003839,spectral_norm_discarded_residual
matrix,5,gate,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,5,gate,0.1,1536,1382,154,1.9243844207077296,0.11663468358926027,spectral_norm_discarded_residual
matrix,5,gate,0.2,1536,1228,308,2.185983148038011,0.1324898757541913,spectral_norm_discarded_residual
matrix,5,gate,0.3,1536,1075,461,2.41389147415222,0.14630313220006955,spectral_norm_discarded_residual
matrix,5,gate,0.4,1536,921,615,2.634524258373332,0.15967542658165831,spectral_norm_discarded_residual
matrix,5,gate,0.5,1536,768,768,2.8520775915243313,0.17286107904423845,spectral_norm_discarded_residual
matrix,5,gate,0.6,1536,614,922,3.084139880030847,0.18692610228060555,spectral_norm_discarded_residual
matrix,5,gate,0.7,1536,460,1076,3.3373856619925735,0.20227503221974832,spectral_norm_discarded_residual
matrix,5,gate,0.8,1536,307,1229,3.632845546639627,0.22018250943080098,spectral_norm_discarded_residual
matrix,5,gate,0.85,1536,230,1306,3.822998939069309,0.2317074836099745,spectral_norm_discarded_residual
matrix,5,gate,0.9,1536,153,1383,4.103586320271925,0.24871355582379476,spectral_norm_discarded_residual
matrix,5,up,0.0,1536,1536,0,0.0,0.0,spectral_norm_discarded_residual
matrix,5,up,0.1,1536,1382,154,1.7134069877101885,0.38525994038131295,spectral_norm_discarded_residual
matrix,5,up,0.2,1536,1228,308,1.9204273160046483,0.43180850701406076,spectral_norm_discarded_residual
matrix,5,up,0.3,1536,1075,461,2.102953367263413,0.4728495300344958,spectral_norm_discarded_residual
matrix,5,up,0.4,1536,921,615,2.2754941987429786,0.5116453741777457,spectral_norm_discarded_residual
matrix,5,up,0.5,1536,768,768,2.4446782220019845,0.5496864392497063,spectral_norm_discarded_residual
matrix,5,up,0.6,1536,614,922,2.6165479584512403,0.5883313875268706,spectral_norm_discarded_residual
