status,load_pct,split_m,repeat,tokens,threads,generated,steady_decode_ms,steady_throughput,steady_ms_per_token,prefix_decode_ms,server_decode_ms,network_wait_ms,requests,send_bytes,recv_bytes,send_ms,recv_header_ms,roundtrip_ms,server_requests,header_wait_ms,payload_recv_ms,server_final_decode_ms,server_send_ms,port,client_log,server_log
ok,50,20,0,32,8,32,107625.0,0.29733,3363.27,97544.5,1135.1,8944.74,32,197504,1024,1.56788,10078.3,10079.8,32,77274.0,3270.89,1135.1,3.32573,18500,load50_split20_r0_client.log,load50_split20_r0_server.log
ok,50,24,0,32,8,32,154506.0,0.207112,4828.3,144259.0,1343.0,8903.7,32,197504,1024,1.52119,10245.2,10246.7,32,110696.0,2601.07,1343.0,3.17948,18501,load50_split24_r0_client.log,load50_split24_r0_server.log
