timeout_budget_ms,offload_selected,local_measured,local_below_baseline,local_min_speedup,local_median_speedup,local_mean_speedup
8,6,10,7,0.009151701205980986,0.9433585123176649,0.8582371625204365
20,6,10,6,0.1669691989375908,0.914797866412299,2.2817754468595646
40,6,10,7,0.8101719336247243,0.9050439497003244,1.9800943291552062
80,6,10,8,0.024013106650363134,0.8992138513738357,1.6590123177021632
