scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,offload_m,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
2c_asym_low_high,2,"60,61","20,80",3,0,11.470333333333334,,,11.5245,,,87.19290000000001,,86.7719,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.382728319114774
2c_balanced_mid,2,"60,61","50,50",3,0,11.423533333333333,,,11.3919,,,87.54183333333333,,87.7816,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.402822110021344
2c_high,2,"60,61","80,100",3,0,11.172733333333333,,,11.3026,,,89.54480000000001,,88.4748,,edge_end_no_svd,2,0,,,0,0.0,75.8583,1.176547773941678
2c_idle_saturated,2,"60,61","0,100",3,0,11.5784,,,11.7068,,,86.41286666666667,,85.4205,,edge_end_no_svd,20,0,,,0,0.0,62.0316,4.27487356444135
4c_balanced_high,4,"60,61,62,63","20,40,60,80",3,3,20.772366666666667,20.772366666666667,1.0,20.7567,20.7567,1.0,48.1412,48.1412,48.1772,48.1772,local,28,4,"60,61,62,63",,0,0.0,51.899568,1.0000000963399154
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,3,18.778233333333333,17.5682,0.9355619183203249,17.882,17.2229,0.963141706744212,53.6581,57.12853333333334,55.9223,58.0621,local,28,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_gradient,4,"60,61,62,63","0,20,60,100",3,3,6.7780130000000005,13.947756666666669,2.0577943221216404,1.91029,18.059,9.453538467981302,667.7668,109.08063333333332,523.481,55.3741,local,28,3,"60,61,62",63,14,0.5,57.232575000000004,7.180697426247202
4c_high,4,"60,61,62,63","70,80,90,100",3,3,17.589033333333333,16.6044,0.9440200427918153,17.8901,17.2369,0.9634881862035426,56.88763333333333,60.816900000000004,55.8968,58.0151,local,28,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,0,9.963223333333334,,,4.86263,,,185.1884666666667,,205.65,,edge_end,22,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,3,26.354733333333332,23.350733333333334,0.8860166801156529,26.9546,23.1412,0.8585250754973178,37.987833333333334,42.92196666666666,37.0994,43.2129,local,28,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,3,23.1712,13.916596666666665,0.6005988756157068,22.2918,17.2391,0.773338178164168,43.28693333333333,130.0807333333333,44.8595,58.0076,local,28,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,3,24.127499999999998,16.18644,0.6708709978240598,24.2573,22.7995,0.9399026272503535,41.4527,147.86353333333332,41.2246,43.8606,local,28,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0,16.04384466666667,,,22.9324,,,1411.3944666666666,,43.6065,,edge_end,1,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,3,26.9928,21.38,0.7920630686701639,26.7557,21.6832,0.8104142294912859,37.08623333333333,46.827400000000004,37.3752,46.1186,local,28,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,3,17.355338666666665,19.367266666666666,1.1159255972264135,23.6442,19.0043,0.8037615990390878,2009.8390333333334,51.67053333333333,42.2936,52.6198,local,28,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,3,17.082046333333334,7.20188,0.4216052257127117,22.9807,0.551838,0.024013106650363134,1022.5358333333334,2653.7433666666666,43.5147,1812.13,local,28,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
