scenario,cpus,loads,occupied_cores,baseline_tok_s_median,major_only_best_tok_s,major_only_best_detail,edge_end_best_tok_s,edge_end_best_detail,edge_end_split_m,speedup_vs_baseline,speedup_vs_major_only,ppl,prefix_decode_ms,server_decode_ms,network_wait_ms,client_log,server_log
2c_asym_low_high,"60,61","20,80",2,12.443999999999999,6.64615,p=1;major=60,16.8567,"M=2;PC=[0,2);Phone=[2,28)",2,1.3546046287367408,2.5363104955500555,15.1424,491.522,947.599,459.1,2c_asym_low_high_r0_M2_client.log,2c_asym_low_high_r0_M2_server.log
2c_balanced_mid,"60,61","50,50",2,12.64735,6.65158,p=1;major=60,18.7579,"M=2;PC=[0,2);Phone=[2,28)",2,1.4831486437870385,2.8200668111937315,15.1424,362.804,873.253,469.797,2c_balanced_mid_r1_M2_client.log,2c_balanced_mid_r1_M2_server.log
2c_high,"60,61","80,100",2,12.5518,6.65522,p=1;major=60,15.5632,"M=2;PC=[0,2);Phone=[2,28)",2,1.2399177807167099,2.338495196251965,15.1424,574.084,1015.1,466.845,2c_high_r1_M2_client.log,2c_high_r1_M2_server.log
2c_idle_saturated,"60,61","0,100",1,12.7975,6.61098,p=1;major=60,16.6131,"M=2;PC=[0,2);Phone=[2,28)",2,1.2981519828091423,2.5129557191218246,15.1424,466.443,1026.3,433.15,2c_idle_saturated_r1_M2_client.log,2c_idle_saturated_r1_M2_server.log
4c_front_hot,"60,61,62,63","90,70,20,0",3,10.70025,14.4911,"p=3;major=63,62,61",16.0483,"M=2;PC=[0,2);Phone=[2,28)",2,1.4998060792972128,1.1074590610788693,15.1424,540.214,1007.24,446.329,4c_front_hot_r0_M2_client.log,4c_front_hot_r0_M2_server.log
4c_gradient,"60,61,62,63","0,20,60,100",3,11.972515,12.7978,"p=2;major=60,61",18.2754,"M=2;PC=[0,2);Phone=[2,28)",2,1.5264461978122392,1.4280110644016941,15.1424,427.508,861.668,461.662,4c_gradient_r0_M2_client.log,4c_gradient_r0_M2_server.log
