scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
4c_balanced_high,4,"60,61,62,63","20,40,60,80",all_0.45,9,9,16.8939,20.7527,1.2284138061667231
4c_gradient,4,"60,61,62,63","0,20,60,100",all_0.35,9,9,18.0951,20.1995,1.1162966770009561
