scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
2c_balanced_mid,2,"60,61","50,50",odd_0.4,5,5,10.0801,12.679,1.2578248231664368
2c_high,2,"60,61","80,100",trunc_even_0.9,5,5,11.4115,15.287,1.3396135477369322
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.85,5,5,11.4594,13.0789,1.141325025743058
4c_balanced_high,4,"60,61,62,63","20,40,60,80",even_0.4,5,5,16.8278,20.699,1.230047896932457
4c_gradient,4,"60,61,62,63","0,20,60,100",mod3_2_0.85,5,5,18.4793,20.6394,1.1168929559020093
4c_high,4,"60,61,62,63","70,80,90,100",all_0.3,5,5,21.1765,21.2782,1.0048024933298703
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.8,5,5,24.973,29.7576,1.191590918191647
