scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
2c_asym_low_high,2,"60,61","20,80",trunc_even_0.8,7,7,11.7805,13.064,1.1089512329697382
2c_balanced_mid,2,"60,61","50,50",all_0.5,7,7,11.2916,13.3078,1.1785575117786673
2c_high,2,"60,61","80,100",trunc_even_0.85,7,7,11.3059,13.1338,1.1616766467065869
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.85,7,7,11.592,13.1206,1.1318668046928915
4c_balanced_high,4,"60,61,62,63","20,40,60,80",odd_0.5,7,7,21.0834,20.0417,0.9505914605803617
4c_front_hot,4,"60,61,62,63","90,70,20,0",trunc_even_0.8,7,7,17.9274,20.3409,1.1346263261822687
4c_gradient,4,"60,61,62,63","0,20,60,100",mod3_2_0.85,7,7,16.6021,17.6808,1.0649737081453552
4c_high,4,"60,61,62,63","70,80,90,100",all_0.55,7,7,21.1235,23.1795,1.0973323549601155
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.8,7,7,28.0423,30.8665,1.1007121384479874
