scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
2c_asym_low_high,2,"60,61","20,80",trunc_even_0.8,5,5,11.8249,13.2822,1.1232399428324975
2c_balanced_mid,2,"60,61","50,50",even_0.5,5,5,11.7281,12.2622,1.0455401983270949
2c_high,2,"60,61","80,100",trunc_even_0.85,5,5,11.4042,12.5218,1.097998982830887
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.8,5,5,11.9748,13.1103,1.0948241306744162
4c_balanced_high,4,"60,61,62,63","20,40,60,80",odd_0.5,5,5,17.8702,22.7542,1.2733041599982093
4c_front_hot,4,"60,61,62,63","90,70,20,0",trunc_even_0.8,5,5,17.9696,21.3179,1.1863313596295968
4c_gradient,4,"60,61,62,63","0,20,60,100",all_0.3,5,5,15.1005,20.5472,1.3606966656733221
4c_high,4,"60,61,62,63","70,80,90,100",all_0.6,5,5,20.3858,24.5965,1.2065506381893278
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.7,5,5,28.2913,28.2764,0.9994733363260083
