n_cores,scenarios,min_speedup_vs_original,median_speedup_vs_original,mean_speedup_vs_original,geo_mean_speedup_vs_original,max_speedup_vs_original,below_original_count
2,4,0.880728,0.9989509999999999,1.0004125,0.9953485169612861,1.12302,2
4,4,1.07357,1.198965,1.232075,1.2244994097953517,1.4568,0
6,4,0.152268,0.8859925,0.78775825,0.6174742955805265,1.22678,3
8,4,1.20865,1.32124,1.3159925000000001,1.3129109167424489,1.41284,0
