scenario,n_cores,cpus,loads,baseline_runs,schedule_runs,baseline_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_tok_s_median,schedule_tok_s_median,speedup_vs_baseline_median,baseline_decode_ms,schedule_decode_ms,baseline_decode_ms_median,schedule_decode_ms_median,mode,offload_m,p,major_cpus,minor_cpus,clipped_layers,max_rate,estimated_total_ms,estimated_speedup
2c_asym_low_high,2,"60,61","20,80",3,0,11.4039,,,11.3859,,,87.69363333333335,,87.8276,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.382728319114774
2c_balanced_mid,2,"60,61","50,50",3,0,11.8436,,,11.7473,,,84.47353333333332,,85.1261,,edge_end_no_svd,20,0,,,0,0.0,62.0316,1.402822110021344
2c_high,2,"60,61","80,100",3,0,11.1106,,,11.2776,,,90.121,,88.6711,,edge_end_no_svd,2,0,,,0,0.0,75.8583,1.176547773941678
2c_idle_saturated,2,"60,61","0,100",3,0,11.6394,,,11.7691,,,85.94293333333333,,84.9681,,edge_end_no_svd,20,0,,,0,0.0,62.0316,4.27487356444135
4c_balanced_high,4,"60,61,62,63","20,40,60,80",3,3,14.59284,14.59284,1.0,19.3818,19.3818,1.0,106.39216666666668,106.39216666666668,51.5948,51.5948,local,28,4,"60,61,62,63",,0,0.0,51.899568,1.0000000963399154
4c_front_hot,4,"60,61,62,63","90,70,20,0",3,3,15.778440000000002,20.074833333333334,1.2722951909905753,21.1915,20.4099,0.9631172875917231,100.75796666666668,49.85443333333333,47.1886,48.9957,local,28,3,"61,62,63",60,14,0.4,57.269466,1.0321396396467186
4c_gradient,4,"60,61,62,63","0,20,60,100",3,3,16.256466666666668,18.512933333333333,1.1388042502060718,15.7415,19.1488,1.2164533240161357,61.68436666666667,54.65943333333333,63.5264,52.2225,local,28,3,"60,61,62",63,14,0.5,57.232575000000004,7.180697426247202
4c_high,4,"60,61,62,63","70,80,90,100",3,3,20.445133333333334,17.1724,0.83992604597019,20.6824,16.7563,0.8101719336247243,48.93423333333334,58.30563333333333,48.3503,59.6792,local,28,3,"61,62,63",60,14,0.7,57.23219,1.197121934351979
6c_front_hot,6,"60,61,62,63,64,65","100,80,60,30,10,0",3,0,9.649621,,,1.7803,,,2179.4302666666667,,561.704,,edge_end,22,3,"62,63,65","60,61,64",11,0.9,38.515019,4.182825224622114
6c_high,6,"60,61,62,63,64,65","50,60,70,80,90,100",3,3,24.953433333333333,21.698633333333333,0.8695650431537143,24.9193,21.2965,0.854618709193276,40.2847,46.26473333333333,40.1296,46.956,local,28,5,"60,61,62,63,64",65,14,0.3,37.452892,2.176192054808478
6c_mixed,6,"60,61,62,63,64,65","0,20,40,60,80,100",3,3,25.052300000000002,20.9098,0.8346459207338248,25.0751,21.4105,0.8538550195213578,40.014700000000005,47.92166666666666,39.8802,46.706,local,28,4,"60,61,62,63","64,65",14,0.9,37.38389,10.579452298837815
6c_ramp_light,6,"60,61,62,63,64,65","0,10,20,30,40,50",3,3,17.10663,22.2993,1.3035472211651271,24.3045,22.8669,0.9408504597913967,168.0172,44.9201,41.1446,43.7314,local,28,5,"60,61,62,63,65",64,14,0.3,37.492242,1.0389425364319371
8c_front_hot,8,"60,61,62,63,64,65,66,67","100,90,80,70,30,20,10,0",3,0,0.40071666666666667,,,0.393366,,,3399.1633333333334,,2542.16,,edge_end,1,4,"61,62,63,66","60,64,65,67",1,0.9,33.263211,2.4227970053763
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",3,3,27.447833333333335,23.374233333333336,0.8515875570020707,29.0605,23.8411,0.8203953820477968,37.11766666666667,42.82543333333333,34.411,41.9443,local,28,6,"61,62,63,64,65,66","60,67",14,0.9,32.24377,1.397283444212634
8c_mixed,8,"60,61,62,63,64,65,66,67","0,20,40,60,80,100,30,50",3,3,7.829897333333334,7.886805,1.007267996532266,0.202711,2.32555,11.472243736156399,3711.5813333333335,937.2491,4933.14,430.005,local,28,6,"60,61,62,63,66,67","64,65",14,0.9,32.15121,3.8918693262244255
8c_ramp_light,8,"60,61,62,63,64,65,66,67","0,10,20,30,40,50,60,70",3,3,11.2886,7.610233666666667,0.6741521239716765,4.52056,3.92944,0.869237439609252,340.3632,595.0808333333333,221.211,254.489,local,28,7,"60,61,62,63,64,65,66",67,14,0.6,32.257149999999996,1.311716968176048
