scenario,n_cores,cpus,loads,selected_policy,baseline_runs,scheduler_runs,baseline_tok_s_median,scheduler_tok_s_median,speedup_median
2c_asym_low_high,2,"60,61","20,80",trunc_even_0.8,7,7,9.36204,10.9723,1.1719988378601245
2c_balanced_mid,2,"60,61","50,50",all_0.5,7,7,9.50127,12.2841,1.2928903188731613
2c_high,2,"60,61","80,100",trunc_even_0.85,7,7,9.48941,11.0707,1.1666373357247712
2c_idle_saturated,2,"60,61","0,100",trunc_even_0.85,7,7,9.17082,11.3735,1.240183538658484
4c_balanced_high,4,"60,61,62,63","20,40,60,80",all_0.4,7,7,20.8037,24.1029,1.1585871743968623
4c_front_hot,4,"60,61,62,63","90,70,20,0",trunc_even_0.8,7,7,4.84568,21.1724,4.369335160390286
4c_gradient,4,"60,61,62,63","0,20,60,100",all_0.35,7,7,17.8253,19.4738,1.0924809119622112
4c_high,4,"60,61,62,63","70,80,90,100",all_0.6,7,7,19.6646,24.6032,1.2511416453932447
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",trunc_even_0.8,7,7,25.0806,32.6334,1.3011411210258128
