scenario,n_cores,cpus,loads,runs,selected_policies,baseline_tok_s_median,scheduler_tok_s_median,speedup_median,speedup_min,speedup_max,in_band_runs,fallback_runs
4c_balanced_high,4,"60,61,62,63","20,40,60,80",5,"all_0.2,all_0.25,all_0.3",17.6807,19.9827,1.141489385375406,1.126626003431319,1.1486740748025044,5,0
4c_gradient,4,"60,61,62,63","0,20,60,100",5,"all_0.3,all_0.5,baseline_no_svd,trunc_even_0.8",19.0125,21.9137,1.152594345825115,1.0,1.171178715715533,4,1
8c_high,8,"60,61,62,63,64,65,66,67","30,40,50,60,70,80,90,100",5,"all_0.05,all_0.2,baseline_no_svd",28.2037,30.9992,1.1099475353223422,1.0,1.1631136089752476,3,2
