truncation,keep_ratio,status,forward_ms_mean,forward_ms_median,images_s,speedup,correct,total,bad,top1
0.0,1.0,ok,51.9681,51.1033,19.242573809702492,1.0,160,200,0,0.8
0.1,0.9,ok,62.4467,56.8463,16.013656446217333,0.8321992995626669,146,200,0,0.73
0.2,0.8,ok,79.6326,80.262,12.557671104547635,0.6525983077282419,76,200,0,0.38
0.3,0.7,ok,68.1404,65.1529,14.675581593298542,0.7626620917986979,10,200,0,0.05
0.4,0.6,ok,44.2443,43.3045,22.601781472415656,1.174571639736644,0,200,0,0.0
0.5,0.5,ok,51.6561,51.2317,19.358797896085843,1.0060399449435786,0,200,0,0.0
0.6,0.4,ok,63.4514,62.5518,15.760093551915324,0.8190221177152907,0,200,0,0.0
0.7,0.30000000000000004,ok,47.7076,41.7947,20.96102088556121,1.0893044294829335,0,200,0,0.0
0.8,0.19999999999999996,ok,43.0419,35.9104,23.2331751154108,1.2073839677151799,0,200,0,0.0
