scene,loads,policy,tok,speedup,status,group_a,group_b
4occ_A,"30,70,80,100,0,0,0,0",odd_0.05,23.7034,7.966859927737165,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.05,1.32474,0.4452533400554575,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.05,0.63513,0.21347113687925384,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",odd_0.1,1.99168,0.6694160154608856,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.1,11.7863,3.9614486177632133,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.1,26.2216,8.81324258465675,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",odd_0.15,24.5115,8.238467355684397,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.15,27.0355,9.086799428619443,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.15,26.8514,9.024922275439039,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",odd_0.2,15.4109,5.179699184942442,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.2,25.3761,8.529064784471894,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.2,3.7939,1.2751533484581128,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",odd_0.25,24.6241,8.276312914881101,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod3_1_0.25,0.46921,0.15770439458869004,ok,"64,65,66,67,60,61","62,63"
4occ_A,"30,70,80,100,0,0,0,0",mod4_1_0.25,27.4329,9.22036803629947,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",baseline,25.4113,1.0,ok,,
4occ_B,"60,70,80,90,0,0,0,0",odd_0.05,22.9079,0.9014847725224605,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod3_1_0.05,25.693,1.011085619389799,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod4_1_0.05,26.2473,1.0328987497688036,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",odd_0.1,24.2535,0.9544375927244965,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod3_1_0.1,25.7785,1.0144502642525175,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod4_1_0.1,26.6256,1.0477858275649021,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",odd_0.15,23.5612,0.9271938074793497,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod3_1_0.15,8.47894,0.3336680925415071,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod4_1_0.15,25.129,0.9888907690673048,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",odd_0.2,24.8885,0.9794264756230496,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod3_1_0.2,26.8563,1.0568644658085182,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod4_1_0.2,8.1722,0.3215970847615037,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",odd_0.25,24.9861,0.983267286600843,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod3_1_0.25,2.73773,0.10773671555567799,ok,"64,65,66,67,60,61","62,63"
4occ_B,"60,70,80,90,0,0,0,0",mod4_1_0.25,3.80511,0.14974086331671344,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",baseline,25.8975,1.0,ok,,
4occ_C,"20,60,90,100,0,0,0,0",odd_0.05,26.1661,1.0103716574958972,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod3_1_0.05,25.8948,0.9998957428323197,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod4_1_0.05,2.08884,0.08065797856935997,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",odd_0.1,3.83378,0.14803668307751713,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod3_1_0.1,26.9039,1.0388608939086783,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod4_1_0.1,25.9052,1.0002973259967178,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",odd_0.15,1.93659,0.07477903272516652,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod3_1_0.15,2.00768,0.07752408533642244,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod4_1_0.15,1.04596,0.040388454484023555,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",odd_0.2,1.95921,0.0756524761077324,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod3_1_0.2,27.0947,1.0462284004247513,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod4_1_0.2,25.7183,0.9930804131672941,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",odd_0.25,27.9443,1.079034655854812,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod3_1_0.25,1.38313,0.053407857901341824,ok,"64,65,66,67,60,61","62,63"
4occ_C,"20,60,90,100,0,0,0,0",mod4_1_0.25,1.5157,0.05852688483444348,ok,"64,65,66,67,60,61","62,63"
6occ_A,"30,40,60,70,90,100,0,0",baseline,1.95888,1.0,ok,,
6occ_A,"30,40,60,70,90,100,0,0",odd_0.05,0.723115,0.3691471657273544,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.05,28.3341,14.46443886302377,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod4_1_0.05,25.6793,13.109174630401046,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",odd_0.1,2.42701,1.2389783958180185,ok,"66,67,60,61,62,63","64,65"
6occ_A,"30,40,60,70,90,100,0,0",mod3_1_0.1,6.87918,3.5117924528301887,ok,"66,67,60,61,62,63","64,65"
