config_id,occupied_count,loads,rate_policy,group_a,group_b,tokens,baseline_tok_s,baseline_ppl,t10_raw_svd_tok_s,t10_schedule_tok_s,t10_speedup,t10_ppl,t10_selected_policy,t10_constraints_ok,t20_raw_svd_tok_s,t20_schedule_tok_s,t20_speedup,t20_ppl,t20_selected_policy,t20_constraints_ok,t30_raw_svd_tok_s,t30_schedule_tok_s,t30_speedup,t30_ppl,t30_selected_policy,t30_constraints_ok,t40_raw_svd_tok_s,t40_schedule_tok_s,t40_speedup,t40_ppl,t40_selected_policy,t40_constraints_ok,t50_raw_svd_tok_s,t50_schedule_tok_s,t50_speedup,t50_ppl,t50_selected_policy,t50_constraints_ok,t60_raw_svd_tok_s,t60_schedule_tok_s,t60_speedup,t60_ppl,t60_selected_policy,t60_constraints_ok,t70_raw_svd_tok_s,t70_schedule_tok_s,t70_speedup,t70_ppl,t70_selected_policy,t70_constraints_ok,t80_raw_svd_tok_s,t80_schedule_tok_s,t80_speedup,t80_ppl,t80_selected_policy,t80_constraints_ok,t90_raw_svd_tok_s,t90_schedule_tok_s,t90_speedup,t90_ppl,t90_selected_policy,t90_constraints_ok,t100_raw_svd_tok_s,t100_schedule_tok_s,t100_speedup,t100_ppl,t100_selected_policy,t100_constraints_ok
4occ_cfg5,4,"30,70,80,100,0,0,0,0",mod3_1_0.15,"64,65,66,67,60,61","62,63",8,0.640141,15.1424,30.2093,30.209300,47.191634,23.560614,svd_timeout,True,30.52,30.520000,47.676996,22.777614,svd_timeout,True,27.3806,27.380600,42.772764,21.994614,svd_timeout,True,1.02936,1.029360,1.608021,21.211614,svd_timeout,True,28.0089,28.008900,43.754267,20.428614,svd_timeout,True,0.820672,0.820672,1.282018,19.645614,svd_timeout,True,13.1524,13.152400,20.546098,18.862614,svd_timeout,True,30.8904,30.890400,48.255619,18.079614,svd_timeout,True,2.10897,2.108970,3.294540,17.296614,svd_timeout,True,27.3012,27.301200,42.648729,16.513614,svd_timeout,True
4occ_cfg6,4,"30,70,80,100,0,0,0,0",mod4_1_0.25,"64,65,66,67,60,61","62,63",8,30.0483,15.1424,1.88992,30.048300,1.000000,26.329900,baseline_guard_no_svd,True,2.55322,30.048300,1.000000,25.304900,baseline_guard_no_svd,True,30.9764,30.976400,1.030887,24.279900,svd_timeout,True,29.3196,30.048300,1.000000,23.254900,baseline_guard_no_svd,True,26.2545,30.048300,1.000000,22.229900,baseline_guard_no_svd,True,2.35206,30.048300,1.000000,21.204900,baseline_guard_no_svd,True,3.94021,30.048300,1.000000,20.179900,baseline_guard_no_svd,True,27.9467,30.048300,1.000000,19.154900,baseline_guard_no_svd,True,27.9146,30.048300,1.000000,18.129900,baseline_guard_no_svd,True,3.86674,30.048300,1.000000,17.104900,baseline_guard_no_svd,True
6occ_cfg1,6,"30,40,60,70,90,100,0,0",mod4_1_0.05,"66,67,60,61,62,63","64,65",8,30.0089,15.1424,27.9353,30.008900,1.000000,17.269900,baseline_guard_no_svd,True,0.274526,30.008900,1.000000,17.068900,baseline_guard_no_svd,True,30.4812,30.481200,1.015739,16.867900,svd_timeout,True,0.972714,30.008900,1.000000,16.666900,baseline_guard_no_svd,True,26.2848,30.008900,1.000000,16.465900,baseline_guard_no_svd,True,28.4676,30.008900,1.000000,16.264900,baseline_guard_no_svd,True,24.592,30.008900,1.000000,16.063900,baseline_guard_no_svd,True,24.404,30.008900,1.000000,15.862900,baseline_guard_no_svd,True,2.15186,30.008900,1.000000,15.661900,baseline_guard_no_svd,True,28.2278,30.008900,1.000000,15.460900,baseline_guard_no_svd,True
6occ_cfg2,6,"30,40,60,70,90,100,0,0",mod3_1_0.05,"66,67,60,61,62,63","64,65",8,27.8934,15.1424,0.901213,27.893400,1.000000,17.877757,baseline_guard_no_svd,True,28.915,28.915000,1.036625,17.619329,svd_timeout,True,24.9389,27.893400,1.000000,17.360900,baseline_guard_no_svd,True,24.9308,27.893400,1.000000,17.102471,baseline_guard_no_svd,True,12.9107,27.893400,1.000000,16.844043,baseline_guard_no_svd,True,26.0932,27.893400,1.000000,16.585614,baseline_guard_no_svd,True,25.4257,27.893400,1.000000,16.327186,baseline_guard_no_svd,True,1.31305,27.893400,1.000000,16.068757,baseline_guard_no_svd,True,26.1627,27.893400,1.000000,15.810329,baseline_guard_no_svd,True,1.38031,27.893400,1.000000,15.551900,baseline_guard_no_svd,True
6occ_cfg3,6,"55,65,85,95,100,100,0,0",mod4_1_0.1,"66,67,60,61,62,63","64,65",8,1.6469,15.1424,25.9191,25.919100,15.738114,19.452400,svd_timeout,True,27.3097,27.309700,16.582488,19.048400,svd_timeout,True,26.7604,26.760400,16.248953,18.644400,svd_timeout,True,27.0924,27.092400,16.450543,18.240400,svd_timeout,True,26.9256,26.925600,16.349262,17.836400,svd_timeout,True,13.1013,13.101300,7.955128,17.432400,svd_timeout,True,27.5285,27.528500,16.715344,17.028400,svd_timeout,True,26.0287,26.028700,15.804663,16.624400,svd_timeout,True,27.114,27.114000,16.463659,16.220400,svd_timeout,True,12.9431,12.943100,7.859069,15.816400,svd_timeout,True
6occ_cfg4,6,"30,40,60,70,90,100,0,0",mod3_1_0.1,"66,67,60,61,62,63","64,65",8,1.03114,15.1424,25.8549,25.854900,25.074093,20.683829,svd_timeout,True,0.943728,1.031140,1.000000,20.164400,baseline_guard_no_svd,True,24.6705,24.670500,23.925461,19.644971,svd_timeout,True,26.4692,26.469200,25.669841,19.125543,svd_timeout,True,26.1119,26.111900,25.323331,18.606114,svd_timeout,True,24.639,24.639000,23.894912,18.086686,svd_timeout,True,24.8219,24.821900,24.072289,17.567257,svd_timeout,True,1.40713,1.407130,1.364635,17.047829,svd_timeout,True,29.6997,29.699700,28.802781,16.528400,svd_timeout,True,1.43257,1.432570,1.389307,16.008971,svd_timeout,True
6occ_cfg5,6,"30,40,60,70,90,100,0,0",mod4_1_0.15,"66,67,60,61,62,63","64,65",8,3.86165,15.1424,30.3884,30.388400,7.869279,21.689900,svd_timeout,True,30.2467,30.246700,7.832585,21.080900,svd_timeout,True,29.1349,29.134900,7.544676,20.471900,svd_timeout,True,11.4301,11.430100,2.959901,19.862900,svd_timeout,True,3.363,3.861650,1.000000,19.253900,baseline_guard_no_svd,True,29.7667,29.766700,7.708285,18.644900,svd_timeout,True,29.5661,29.566100,7.656339,18.035900,svd_timeout,True,30.0073,30.007300,7.770590,17.426900,svd_timeout,True,30.0808,30.080800,7.789624,16.817900,svd_timeout,True,28.9448,28.944800,7.495449,16.208900,svd_timeout,True
6occ_cfg6,6,"55,65,85,95,100,100,0,0",mod3_1_0.15,"66,67,60,61,62,63","64,65",8,26.0519,15.1424,28.3034,28.303400,1.086424,23.560614,svd_timeout,True,25.7991,26.051900,1.000000,22.777614,baseline_guard_no_svd,True,27.3765,27.376500,1.050845,21.994614,svd_timeout,True,28.2353,28.235300,1.083810,21.211614,svd_timeout,True,28.6569,28.656900,1.099993,20.428614,svd_timeout,True,29.2997,29.299700,1.124667,19.645614,svd_timeout,True,3.7625,26.051900,1.000000,18.862614,baseline_guard_no_svd,True,28.3559,28.355900,1.088439,18.079614,svd_timeout,True,27.1014,27.101400,1.040285,17.296614,svd_timeout,True,26.9374,26.937400,1.033990,16.513614,svd_timeout,True
8occ_cfg1,8,"20,30,40,50,90,90,100,100",mod4_1_0.05,"60,61,62,63,64,65","66,67",8,23.4099,15.1424,22.8724,23.409900,1.000000,17.269900,baseline_guard_no_svd,True,23.6953,23.695300,1.012191,17.068900,svd_timeout,True,24.8681,24.868100,1.062290,16.867900,svd_timeout,True,22.9456,23.409900,1.000000,16.666900,baseline_guard_no_svd,True,25.5565,25.556500,1.091696,16.465900,svd_timeout,True,24.6489,24.648900,1.052926,16.264900,svd_timeout,True,25.0763,25.076300,1.071184,16.063900,svd_timeout,True,26.2475,26.247500,1.121214,15.862900,svd_timeout,True,25.9794,25.979400,1.109761,15.661900,svd_timeout,True,25.0455,25.045500,1.069868,15.460900,svd_timeout,True
8occ_cfg2,8,"20,30,40,50,90,90,100,100",mod3_1_0.05,"60,61,62,63,64,65","66,67",8,23.5745,15.1424,24.867,24.867000,1.054826,17.877757,svd_timeout,True,23.6568,23.656800,1.003491,17.619329,svd_timeout,True,23.9119,23.911900,1.014312,17.360900,svd_timeout,True,25.8357,25.835700,1.095917,17.102471,svd_timeout,True,27.2082,27.208200,1.154137,16.844043,svd_timeout,True,27.3015,27.301500,1.158095,16.585614,svd_timeout,True,24.9738,24.973800,1.059357,16.327186,svd_timeout,True,24.6411,24.641100,1.045244,16.068757,svd_timeout,True,24.1592,24.159200,1.024802,15.810329,svd_timeout,True,24.3279,24.327900,1.031958,15.551900,svd_timeout,True
8occ_cfg3,8,"20,30,40,50,90,90,100,100",odd_0.05,"60,61,62,63,64,65","66,67",8,12.284,15.1424,25.4005,25.400500,2.067771,19.397400,svd_timeout,True,27.6323,27.632300,2.249455,18.995400,svd_timeout,True,25.1143,25.114300,2.044472,18.593400,svd_timeout,True,25.586,25.586000,2.082872,18.191400,svd_timeout,True,24.8244,24.824400,2.020873,17.789400,svd_timeout,True,26.0706,26.070600,2.122322,17.387400,svd_timeout,True,25.1827,25.182700,2.050041,16.985400,svd_timeout,True,25.5235,25.523500,2.077784,16.583400,svd_timeout,True,26.4969,26.496900,2.157025,16.181400,svd_timeout,True,25.0262,25.026200,2.037301,15.779400,svd_timeout,True
8occ_cfg4,8,"20,30,40,50,90,90,100,100",mod4_1_0.1,"60,61,62,63,64,65","66,67",8,25.8475,15.1424,24.3752,25.847500,1.000000,19.452400,baseline_guard_no_svd,True,27.2265,27.226500,1.053351,19.048400,svd_timeout,True,24.1273,25.847500,1.000000,18.644400,baseline_guard_no_svd,True,27.8352,27.835200,1.076901,18.240400,svd_timeout,True,24.4238,25.847500,1.000000,17.836400,baseline_guard_no_svd,True,24.7898,25.847500,1.000000,17.432400,baseline_guard_no_svd,True,28.1825,28.182500,1.090338,17.028400,svd_timeout,True,27.5869,27.586900,1.067295,16.624400,svd_timeout,True,25.8435,25.847500,1.000000,16.220400,baseline_guard_no_svd,True,25.4933,25.847500,1.000000,15.816400,baseline_guard_no_svd,True
8occ_cfg5,8,"20,30,40,50,90,90,100,100",mod3_1_0.1,"60,61,62,63,64,65","66,67",8,25.3999,15.1424,25.3472,25.399900,1.000000,20.683829,baseline_guard_no_svd,True,25.9629,25.962900,1.022165,20.164400,svd_timeout,True,28.4553,28.455300,1.120292,19.644971,svd_timeout,True,25.1799,25.399900,1.000000,19.125543,baseline_guard_no_svd,True,26.0537,26.053700,1.025740,18.606114,svd_timeout,True,25.4288,25.428800,1.001138,18.086686,svd_timeout,True,25.6029,25.602900,1.007992,17.567257,svd_timeout,True,24.8886,25.399900,1.000000,17.047829,baseline_guard_no_svd,True,25.1728,25.399900,1.000000,16.528400,baseline_guard_no_svd,True,27.7695,27.769500,1.093292,16.008971,svd_timeout,True
8occ_cfg6,8,"20,30,40,50,90,90,100,100",mod4_1_0.15,"60,61,62,63,64,65","66,67",8,25.0238,15.1424,26.5793,26.579300,1.062161,21.689900,svd_timeout,True,23.4556,25.023800,1.000000,21.080900,baseline_guard_no_svd,True,24.6178,25.023800,1.000000,20.471900,baseline_guard_no_svd,True,24.8845,25.023800,1.000000,19.862900,baseline_guard_no_svd,True,24.8219,25.023800,1.000000,19.253900,baseline_guard_no_svd,True,27.8599,27.859900,1.113336,18.644900,svd_timeout,True,27.8484,27.848400,1.112877,18.035900,svd_timeout,True,25.4031,25.403100,1.015158,17.426900,svd_timeout,True,24.023,25.023800,1.000000,16.817900,baseline_guard_no_svd,True,25.872,25.872000,1.033896,16.208900,svd_timeout,True
