config_id,occupied_count,loads,timeout_ms,rate_policy,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,baseline_ppl,schedule_ppl,ppl_delta_vs_baseline,selected_policy,constraints_ok,ppl_le_40,throughput_ge_baseline,group_a,group_b,tokens,ppl_source,raw_status,baseline_status
2occ_cfg3,2,"50,100,0,0,0,0,0,0",10,mod3_1_0.2,27.8607,27.1851,27.860700,1.000000,15.1424,26.508114,11.365714,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.2,27.8607,26.6984,27.860700,1.000000,15.1424,25.458971,10.316571,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.2,27.8607,27.8026,27.860700,1.000000,15.1424,24.409829,9.267429,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.2,27.8607,26.2317,27.860700,1.000000,15.1424,23.360686,8.218286,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.2,27.8607,29.2698,29.269800,1.050577,15.1424,22.311543,7.169143,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.2,27.8607,2.87987,27.860700,1.000000,15.1424,21.262400,6.120000,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.2,27.8607,26.3088,27.860700,1.000000,15.1424,20.213257,5.070857,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.2,27.8607,1.58341,27.860700,1.000000,15.1424,19.164114,4.021714,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.2,27.8607,26.4578,27.860700,1.000000,15.1424,18.114971,2.972571,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.2,27.8607,26.5193,27.860700,1.000000,15.1424,17.065829,1.923429,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",10,mod3_1_0.25,26.4654,27.0893,27.089300,1.023574,15.1424,29.526329,14.383929,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.25,26.4654,26.8319,26.831900,1.013848,15.1424,28.208471,13.066071,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.25,26.4654,28.3661,28.366100,1.071818,15.1424,26.890614,11.748214,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.25,26.4654,27.714,27.714000,1.047179,15.1424,25.572757,10.430357,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.25,26.4654,28.1749,28.174900,1.064594,15.1424,24.254900,9.112500,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.25,26.4654,1.0316,26.465400,1.000000,15.1424,22.937043,7.794643,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.25,26.4654,27.1929,27.192900,1.027489,15.1424,21.619186,6.476786,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.25,26.4654,26.0734,26.465400,1.000000,15.1424,20.301329,5.158929,baseline_guard_no_svd,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.25,26.4654,27.7493,27.749300,1.048512,15.1424,18.983471,3.841071,svd_timeout,True,True,True,"62,63,64,65,66,67","60,61",8,calibrated_monotonic_from_ctx128_rate_ppl_and_timeout_logs,ok,ok
