occupied_count,timeout_ms,configs,baseline_tok_s_mean,schedule_tok_s_mean,speedup_mean,ppl_mean,all_constraints_ok
2,10,6,23.12902,27.580650000000002,3.253309037144185,18.463292857142857,True
2,20,6,23.12902,23.49630833333333,1.1607320058141826,18.15707857142857,True
2,30,6,23.12902,27.487666666666666,3.103143924759071,17.850864285714287,True
2,40,6,23.12902,27.230783333333335,3.022361773957503,17.54465,True
2,50,6,23.12902,27.87495,3.2057221773992572,18.433292857142856,True
2,60,6,23.12902,27.162166666666668,3.086664390200157,15.633114285714285,True
2,70,6,23.12902,27.533416666666668,3.2205905317929524,16.626007142857144,True
2,80,6,23.12902,27.64925,3.217459537424143,17.46622142857143,True
2,90,6,23.12902,27.8121,3.2590050152319017,16.51149523809524,True
2,100,6,23.12902,27.7865,3.2215688518776346,16.688614285714287,True
4,10,6,18.811563500000002,23.79764,8.700822652162238,17.636685714285715,True
4,20,6,18.811563500000002,27.696766666666665,10.10914644262043,17.251935714285715,True
4,30,6,18.811563500000002,27.741316666666666,9.34365625571073,19.13294761904762,True
4,40,6,18.811563500000002,22.794043333333335,2.435200134231029,16.81779285714286,True
4,50,6,18.811563500000002,27.360266666666664,9.483283128981169,16.60072142857143,True
4,60,6,18.811563500000002,19.503002,1.0723325926700868,16.476685714285715,True
4,70,6,18.811563500000002,25.177216666666666,5.548873675587274,16.64882857142857,True
4,80,6,18.811563500000002,27.9862,10.161569170852806,16.330257142857143,True
4,90,6,18.811563500000002,23.302361666666666,2.727380354733521,15.90560238095238,True
4,100,6,18.811563500000002,23.622823333333333,7.955539629049078,15.548685714285716,True
6,10,6,15.082315,28.06135,8.627984849886102,19.278590476190477,True
6,20,6,15.082315,23.927223333333334,4.741949663303915,17.19597142857143,True
6,30,6,15.082315,27.719483333333333,8.464278923389001,18.794364285714284,True
6,40,6,15.082315,25.188216666666666,8.027349129793881,18.120876190476192,True
6,50,6,15.082315,23.909724999999998,7.628764402590033,17.049721428571427,True
6,60,6,15.082315,25.784833333333335,7.113832015401829,17.34906666666667,True
6,70,6,15.082315,27.645116666666667,8.573995252378504,16.34312619047619,True
6,80,6,15.082315,23.950221666666668,4.67138795061135,16.577257142857142,True
6,90,6,15.082315,28.6497,9.349391493231183,16.19135238095238,True
6,100,6,15.082315,21.360028333333332,3.2963023689417956,15.80544761904762,True
8,10,6,22.589933333333335,25.25068333333333,1.197459682758113,17.398709523809526,True
8,20,6,22.589933333333335,25.532933333333332,1.2234423146907116,18.006471428571427,True
8,30,6,22.589933333333335,25.536816666666667,1.2068943761825752,17.12532857142857,True
8,40,6,22.589933333333335,25.515083333333333,1.2092817135972966,16.49357857142857,True
8,50,6,22.589933333333335,25.752350000000003,1.215407678681833,16.665042857142858,True
8,60,6,22.589933333333335,26.192866666666664,1.2413027500752232,17.01865,True
8,70,6,22.589933333333335,26.144433333333335,1.2319645043905707,17.001340476190475,True
8,80,6,22.589933333333335,25.80033333333333,1.221115644146443,16.284792857142858,True
8,90,6,22.589933333333335,25.48445,1.2152648127478762,15.513471428571428,True
8,100,6,22.589933333333335,25.6481,1.2110523545163125,15.692078571428572,True
