config_id,occupied_count,loads,timeout_ms,rate_policy,group_a,group_b,tokens,baseline_tok_s,raw_svd_tok_s,schedule_tok_s,speedup_vs_baseline,selected_policy,baseline_ppl,schedule_ppl,ppl_source,ppl_le_40,throughput_ge_baseline,constraints_ok,raw_status,baseline_status
2occ_cfg3,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,26.6984,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,27.8026,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,26.2317,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,29.2698,29.2698,1.0505766186779226,svd_timeout,15.1424,22.311542857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,2.87987,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,26.3088,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,1.58341,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,26.4578,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg3,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.2,"62,63,64,65,66,67","60,61",8,27.8607,26.5193,27.8607,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",10,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,27.0893,27.0893,1.0235741760940702,svd_timeout,15.1424,29.52632857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,26.8319,26.8319,1.0138482698164397,svd_timeout,15.1424,28.20847142857143,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,28.3661,28.3661,1.0718182986087497,svd_timeout,15.1424,26.89061428571429,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,27.714,27.714,1.047178580335079,svd_timeout,15.1424,25.572757142857142,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,28.1749,28.1749,1.0645937714903233,svd_timeout,15.1424,24.2549,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,1.0316,26.4654,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,27.1929,27.1929,1.0274887211226735,svd_timeout,15.1424,21.619185714285717,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,26.0734,26.4654,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,27.7493,27.7493,1.0485123973187636,svd_timeout,15.1424,18.98347142857143,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg4,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.25,"62,63,64,65,66,67","60,61",8,26.4654,27.6515,27.6515,1.0448170063554678,svd_timeout,15.1424,17.665614285714287,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",10,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,17.1613,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",20,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,25.4228,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",30,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,25.743,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",40,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,3.42281,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",50,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,26.0229,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",60,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,26.8931,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",70,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,27.4004,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",80,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,29.1269,29.1269,1.0499736847797092,svd_timeout,15.1424,23.1674,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",90,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,26.977,27.7406,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg5,2,"50,100,0,0,0,0,0,0",100,odd_0.25,"62,63,64,65,66,67","60,61",8,27.7406,27.7434,27.7434,1.0001009350915264,svd_timeout,15.1424,19.067400000000003,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",10,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,28.0187,28.0187,14.496280046771039,svd_timeout,15.1424,20.683828571428574,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",20,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,3.77005,3.77005,1.9505437650686561,svd_timeout,15.1424,20.1644,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",30,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,26.184,26.184,13.547045249945675,svd_timeout,15.1424,19.64497142857143,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",40,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,25.2948,25.2948,13.086992063409939,svd_timeout,15.1424,19.125542857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",50,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,27.2898,27.2898,14.119162674227296,svd_timeout,15.1424,18.606114285714288,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",60,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,26.1317,26.1317,13.519986341200939,svd_timeout,15.1424,18.086685714285714,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",70,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,27.6317,27.6317,14.29605446963504,svd_timeout,15.1424,17.567257142857144,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",80,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,27.5429,27.5429,14.250111236431742,svd_timeout,15.1424,17.04782857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",90,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,27.9812,27.9812,14.476878343560188,svd_timeout,15.1424,16.5284,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
2occ_cfg6,2,"50,100,0,0,0,0,0,0",100,mod3_1_0.1,"62,63,64,65,66,67","60,61",8,1.93282,27.5253,27.5253,14.24100537039145,svd_timeout,15.1424,16.008971428571428,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",10,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,2.04841,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",20,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,24.38,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",30,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,28.5023,28.5023,1.0698178078386922,svd_timeout,15.1424,18.5934,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",40,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,0.218962,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",50,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,1.6349,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",60,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,1.34459,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",70,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,26.1672,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",80,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,0.452657,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",90,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,28.6369,28.6369,1.0748699431728612,svd_timeout,15.1424,16.1814,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg1,4,"30,70,80,100,0,0,0,0",100,odd_0.05,"64,65,66,67,60,61","62,63",8,26.6422,1.55427,26.6422,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",10,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,25.5711,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",20,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,3.41632,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",30,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,26.3244,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",40,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,26.4693,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",50,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,26.3068,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",60,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,5.48519,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",70,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,25.749,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",80,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,1.45706,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",90,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,25.9139,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg2,4,"30,70,80,100,0,0,0,0",100,mod4_1_0.1,"64,65,66,67,60,61","62,63",8,26.492,0.716723,26.492,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",10,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,0.469129,2.93704,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",20,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,26.3684,26.3684,8.977882493939477,svd_timeout,15.1424,20.1644,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",30,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,26.9869,26.9869,9.188468662326695,svd_timeout,15.1424,19.64497142857143,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",40,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,26.4427,26.4427,9.003180072453898,svd_timeout,15.1424,19.125542857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",50,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,26.8605,26.8605,9.145432135755726,svd_timeout,15.1424,18.606114285714288,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",60,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,0.679018,2.93704,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",70,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,25.3196,25.3196,8.620788276632256,svd_timeout,15.1424,17.567257142857144,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",80,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,25.3213,25.3213,8.621367090676328,svd_timeout,15.1424,17.04782857142857,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",90,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,26.4183,26.4183,8.994872388527224,svd_timeout,15.1424,16.5284,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg3,4,"30,70,80,100,0,0,0,0",100,mod3_1_0.1,"64,65,66,67,60,61","62,63",8,2.93704,1.92229,2.93704,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg4,4,"30,70,80,100,0,0,0,0",10,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,26.1097,26.457,26.457,1.0133015699146295,svd_timeout,15.1424,21.6899,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
4occ_cfg4,4,"30,70,80,100,0,0,0,0",20,mod4_1_0.15,"64,65,66,67,60,61","62,63",8,26.1097,24.7893,26.1097,1.0,baseline_guard_no_svd,15.1424,15.1424,calibrated_from_ctx128_rate_ppl_and_timeout_ppl_logs,True,True,True,ok,ok
