scenario,loads,baseline_mean_tok_s,selected_policy,selected_detail,selected_mean_tok_s,speedup_vs_baseline_mean,ppl,ppl_delta
2c_asym_low_high,"20,80,0,0,0,0,0,0",31.8784,baseline_no_svd,"60,61,62,63,64,65,66,67",31.8784,1.0,15.1424,0.0
2c_balanced_mid,"50,50,0,0,0,0,0,0",32.25116666666667,baseline_no_svd,"60,61,62,63,64,65,66,67",32.25116666666667,1.0,15.1424,0.0
2c_high,"80,100,0,0,0,0,0,0",16.1587,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",31.716933333333333,1.962839419837817,15.1424,0.0
2c_idle_saturated,"0,100,0,0,0,0,0,0",25.776733333333336,major_only_no_svd,"p=7;major=60,62,63,64,65,66,67",35.378,1.3724780228164415,15.1424,0.0
4c_balanced_high,"20,40,60,80,0,0,0,0",14.66742,major_only_no_svd,"p=6;major=64,65,66,67,60,61",28.302966666666666,1.9296486135030337,15.1424,0.0
4c_front_hot,"90,70,20,0,0,0,0,0",33.13216666666667,baseline_no_svd,"60,61,62,63,64,65,66,67",33.13216666666667,1.0,15.1424,0.0
4c_gradient,"0,20,60,100,0,0,0,0",22.689400000000003,major_only_no_svd,"p=7;major=60,64,65,66,67,61,62",30.69883333333333,1.353003311384758,15.1424,0.0
4c_high,"70,80,90,100,0,0,0,0",4.323903333333333,major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",21.63829,5.004341756021374,15.1424,0.0
8c_high,"30,40,50,60,70,80,90,100",27.078033333333334,baseline_no_svd,"60,61,62,63,64,65,66,67",27.078033333333334,1.0,15.1424,0.0
