scenario,loads,baseline_max_tok_s,selected_policy,selected_detail,selected_max_tok_s,speedup_vs_baseline_max,ppl,ppl_delta
2c_asym_low_high,"20,80,0,0,0,0,0,0",32.8447,baseline_no_svd,"60,61,62,63,64,65,66,67",32.8447,1.0,15.1424,0.0
2c_balanced_mid,"50,50,0,0,0,0,0,0",33.02,baseline_no_svd,"60,61,62,63,64,65,66,67",33.02,1.0,15.1424,0.0
2c_high,"80,100,0,0,0,0,0,0",28.6291,major_only_no_svd,"p=7;major=62,63,64,65,66,67,60",32.6299,1.1397459228547178,15.1424,0.0
2c_idle_saturated,"0,100,0,0,0,0,0,0",34.4643,major_only_no_svd,"p=7;major=60,62,63,64,65,66,67",37.4369,1.0862515704656703,15.1424,0.0
4c_balanced_high,"20,40,60,80,0,0,0,0",29.8555,baseline_no_svd,"60,61,62,63,64,65,66,67",29.8555,1.0,15.1424,0.0
4c_front_hot,"90,70,20,0,0,0,0,0",35.4072,baseline_no_svd,"60,61,62,63,64,65,66,67",35.4072,1.0,15.1424,0.0
4c_gradient,"0,20,60,100,0,0,0,0",32.7348,baseline_no_svd,"60,61,62,63,64,65,66,67",32.7348,1.0,15.1424,0.0
4c_high,"70,80,90,100,0,0,0,0",8.96054,major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",31.8271,3.5519176299642656,15.1424,0.0
8c_high,"30,40,50,60,70,80,90,100",28.619,baseline_no_svd,"60,61,62,63,64,65,66,67",28.619,1.0,15.1424,0.0
