source_type,source,scenario,occupied_count,loads,baseline_tok_s,schedule_tok_s,speedup,ppl,policy,detail,credible_baseline,not_too_low_baseline,target2x_score,paper_score
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_06,4,"70,80,90,100,0,0,0,0",12.7079,26.1769,2.05989187828044,15.1424,major_only_no_svd,p=1;major=64,True,True,0.05989187828043985,0.05989187828043985
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_03,4,"50,50,80,90,0,0,0,0",21.0872,27.2058,1.2901570621040253,15.1424,major_only_no_svd,p=1;major=64,True,True,0.7098429378959747,0.7098429378959747
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_02,4,"40,60,80,100,0,0,0,0",22.1425,26.5455,1.198848368522073,15.1424,major_only_no_svd,p=1;major=64,True,True,0.801151631477927,0.801151631477927
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg4,4,"30,70,80,100,0,0,0,0",26.1097,30.0778,1.151978,18.6449,svd_timeout,timeout=60ms;rate=mod4_1_0.15,True,True,0.848022,0.848022
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg1,4,"30,70,80,100,0,0,0,0",26.6422,28.6369,1.07487,16.1814,svd_timeout,timeout=90ms;rate=odd_0.05,True,True,0.92513,0.92513
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg2,4,"30,70,80,100,0,0,0,0",26.492,26.492,1.0,19.4524,baseline_guard_no_svd,timeout=10ms;rate=mod4_1_0.1,True,True,1.0,1.0
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg6,4,"30,70,80,100,0,0,0,0",30.0483,30.9764,1.030887,24.2799,svd_timeout,timeout=30ms;rate=mod4_1_0.25,True,True,0.9691129999999999,1.469113
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_05,4,"20,60,90,100,0,0,0,0",6.61435,26.422,3.994648000181424,15.1424,major_only_no_svd,p=1;major=64,False,False,1.994648000181424,11.994648000181424
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_04,4,"60,70,80,90,0,0,0,0",3.59866,28.9737,8.05124685299528,15.1424,major_only_no_svd,p=1;major=64,False,False,6.0512468529952805,16.05124685299528
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg3,4,"30,70,80,100,0,0,0,0",2.93704,26.9869,9.188469,19.644971,svd_timeout,timeout=30ms;rate=mod3_1_0.1,False,False,7.1884689999999996,17.188468999999998
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,4c_plot_search_08,4,"30,70,80,100,0,0,0,0",0.81084,22.0322,27.172068472201666,15.1424,major_only_no_svd,p=1;major=64,False,False,25.172068472201666,35.172068472201666
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,4occ_cfg5,4,"30,70,80,100,0,0,0,0",0.640141,30.8904,48.255619,18.079614,svd_timeout,timeout=80ms;rate=mod3_1_0.15,False,False,46.255619,56.255619
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,4occ_target2x_r2_02,4,"65,75,90,100,0,0,0,0",0.455353,40.7571,89.50660256987436,15.1424,major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",False,False,87.50660256987436,97.50660256987436
major_only_new_search,src/llama.cpp/exp12_algorithms/results/target2x_major_only_search_20260505_r2/raw.csv,4occ_target2x_r2_03,4,"70,80,90,100,0,0,0,0",0.482353,43.3422,89.85576952978421,15.1424,major_only_no_svd,"p=7;major=64,65,66,67,60,61,62",False,False,87.85576952978421,97.85576952978421
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_extra_01,6,"10,30,70,90,100,100,0,0",10.35,17.2867,1.6702125603864737,15.1424,major_only_no_svd,p=1;major=66,True,True,0.3297874396135263,0.3297874396135263
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_search_04,6,"60,60,80,80,100,100,0,0",18.1698,22.0302,1.212462437671301,15.1424,major_only_no_svd,p=1;major=66,True,True,0.7875375623286991,0.7875375623286991
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg6,6,"55,65,85,95,100,100,0,0",26.0519,29.2997,1.124667,19.645614,svd_timeout,timeout=60ms;rate=mod3_1_0.15,True,True,0.8753329999999999,0.8753329999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg2,6,"30,40,60,70,90,100,0,0",27.8934,28.915,1.036625,17.619329,svd_timeout,timeout=20ms;rate=mod3_1_0.05,True,True,0.9633750000000001,0.9633750000000001
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg1,6,"30,40,60,70,90,100,0,0",30.0089,30.4812,1.015739,16.8679,svd_timeout,timeout=30ms;rate=mod4_1_0.05,True,True,0.984261,1.484261
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_extra_03,6,"30,50,80,90,100,100,0,0",9.53568,21.1675,2.2198207154602505,15.1424,major_only_no_svd,p=1;major=66,False,True,0.2198207154602505,10.219820715460251
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_search_08,6,"45,65,75,85,95,100,0,0",6.49538,21.2515,3.2717870240078333,15.1424,major_only_no_svd,p=1;major=66,False,False,1.2717870240078333,11.271787024007834
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_search_06,6,"70,80,80,90,90,100,0,0",5.2315,22.2706,4.257019975150532,15.1424,major_only_no_svd,p=1;major=66,False,False,2.2570199751505324,12.257019975150532
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_extra_07,6,"55,65,85,95,100,100,0,0",3.68809,16.7317,4.536684300003525,15.1424,major_only_no_svd,p=1;major=66,False,False,2.5366843000035253,12.536684300003525
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_search_05,6,"20,50,80,90,100,100,0,0",4.41556,20.3341,4.605101051735227,15.1424,major_only_no_svd,p=1;major=66,False,False,2.605101051735227,12.605101051735227
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg5,6,"30,40,60,70,90,100,0,0",3.86165,30.3884,7.869279,21.6899,svd_timeout,timeout=10ms;rate=mod4_1_0.15,False,False,5.869279,15.869278999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg3,6,"55,65,85,95,100,100,0,0",1.6469,27.5285,16.715344,17.0284,svd_timeout,timeout=70ms;rate=mod4_1_0.1,False,False,14.715344000000002,24.715344
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,6occ_cfg4,6,"30,40,60,70,90,100,0,0",1.03114,29.6997,28.802781,16.5284,svd_timeout,timeout=90ms;rate=mod3_1_0.1,False,False,26.802781,36.802780999999996
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,6c_plot_search_01,6,"30,40,60,70,90,100,0,0",0.607428,30.2334,49.77281258025643,15.1424,major_only_no_svd,p=1;major=66,False,False,47.77281258025643,57.77281258025643
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg3,8,"20,30,40,50,90,90,100,100",12.284,27.6323,2.249455,18.9954,svd_timeout,timeout=20ms;rate=odd_0.05,True,True,0.2494550000000002,0.2494550000000002
major_only_or_baseline,src/llama.cpp/exp12_algorithms/results/final_plot_dataset_q4_major_only_20260504/all_candidates.csv,8c_mw_01,8,"20,30,40,50,90,90,100,100",26.2608,34.3179,1.3068109120818865,15.1424,major_only_no_svd,"p=7;major=60,61,62,63,64,65,66",True,True,0.6931890879181135,0.6931890879181135
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg2,8,"20,30,40,50,90,90,100,100",23.5745,27.3015,1.158095,16.585614,svd_timeout,timeout=60ms;rate=mod3_1_0.05,True,True,0.8419049999999999,0.8419049999999999
svd_timeout,src/llama.cpp/exp12_algorithms/results/final_timeout_sweep_dataset_20260504/plot_timeout_sweep_long.csv,8occ_cfg1,8,"20,30,40,50,90,90,100,100",23.4099,26.2475,1.121214,15.8629,svd_timeout,timeout=80ms;rate=mod4_1_0.05,True,True,0.8787860000000001,0.8787860000000001
